text
"['美丽人生', '9.5', '剧情', '喜剧', '爱情', '战争']"
"['辛德勒的名单', '9.5', '剧情', '历史', '战争']"
"['高山下的花环', '9.5', '剧情', '战争']"
"['乱世佳人', '9.3', '剧情', '历史', '爱情', '战争']"
"['钢琴家', '9.3', '剧情', '传记', '战争', '音乐']"
"['穿条纹睡衣的男孩', '9.2', '剧情', '战争']"
"['拯救大兵瑞恩', '9.1', '剧情', '战争']"
"['大独裁者', '9.2', '喜剧', '剧情', '战争']"
"['地下', '9.2', '剧情', '战争']"
"['沉静如海', '9.1', '剧情', '爱情', '战争']"
